gloss,text
TOMORROW GROUP USE VIDEO,"Tomorrow, the group will use the video."
NOW WORKER FEEL STRONG,"Now, the worker is feeling strong."
PLEASE HELP ME I NEED SOLUTION FOR SIGN,"Please help me, I need the solution for the sign."
POLICE NOT HAVE MARKET,The police do not have the market.
YESTERDAY HE FEEL CONFUSED,"Yesterday, he felt confused."
TOMORROW MORNING I WANT GO CITY LEARN BODY,"Tomorrow morning, I want to go to the city and learn the body."
NOW FAMILY FEEL SORRY,"Now, the family are feeling sorry."
YESTERDAY WORKER FEEL SICK,"Yesterday, the worker felt sick."
NOW DOCTOR EXPLAIN BROTHER,"Now, the doctor is explaining the brother."
HIS_HER BOOK WHERE,Where is their book?
HE NOT SEE AGE,He does not see the age.
SIT DOWN,Sit down.
MOTHER NOT WANT STORE,The mother does not want the store.
YESTERDAY FATHER READ BODY,"Yesterday, the father read the body."
MORNING WE DELETE MODEL,"In the morning, we are deleting the model."
NOW POLICE DRINK MEDICINE,"Now, the police are drinking some medicine."
NOW TEAM WALK LIBRARY,"Now, the team are walking to the library."
I GO CITY YOU-KNOW,Am I going to the city?
PLEASE HELP ME I NEED HAND FOR BAG,"Please help me, I need the hand for the bag."
I NOT UNDERSTAND RESTAURANT,I do not understand the restaurant.
NIGHT CHILD DOWNLOAD COMPUTER,"At night, the child is downloading the computer."
AFTERNOON POLICE CHANGE EXAM,"In the afternoon, the police are changing the exam."
NIGHT MAN UPLOAD LAPTOP,"At night, the man is uploading the laptop."
STUDENT NOT HAVE PASSWORD,The student does not have the password.
STUDENT NOT WANT PASSWORD,The student does not want the password.
NIGHT YOU SHARE BODY,"At night, you are sharing the body."
TOMORROW MORNING I WANT GO ROAD STUDY MONEY,"Tomorrow morning, I want to go to the road and study the money."
TEAM NOT UNDERSTAND PROGRAM,The team do not understand the program.
WHO BOSS,Who is the boss?
AFTERNOON BROTHER CHANGE LANGUAGE,"In the afternoon, the brother is changing the language."
SHE HAVE LETTER YOU-KNOW,Does she have the letter?
NOW DOCTOR FIX BODY,"Now, the doctor is fixing the body."
TOMORROW I SHARE LETTER,"Tomorrow, I will share the letter."
YOU NOT WANT COMPANY,You do not want the company.
TOMORROW MORNING I WANT GO PARK READ EXAM,"Tomorrow morning, I want to go to the park and read the exam."
NIGHT TEAM PAY GRADE,"At night, the team are paying the grade."
BOSS NOT NEED PROGRAM,The boss does not need the program.
AFTERNOON FRIEND FIX SENTENCE,"In the afternoon, the friend is fixing the sentence."
SISTER NOT SEE KEY,The sister does not see the key.
HOW-MANY PHONE HE HAVE,How many phones does he have?
YESTERDAY DOCTOR DEVELOP DESIGN,"Yesterday, the doctor developed the design."
TEAM NOT NEED ROOM,The team do not need the room.
MORNING THEY CLIMB CITY,"In the morning, they are climbing to the city."
TOMORROW FRIEND PUSH SENTENCE,"Tomorrow, the friend will push the sentence."
NIGHT I HELP YOU,"At night, I am helping you."
AFTERNOON TEAM INSTALL LAPTOP,"In the afternoon, the team are installing the laptop."
WORKER NOT HAVE TIME,The worker does not have the time.
NIGHT STUDENT FORGET NAME,"At night, the student forgets the name."
FAMILY NOT UNDERSTAND IDEA,The family do not understand the idea.
TOMORROW TEAM DEVELOP GRADE,"Tomorrow, the team will develop the grade."
PLEASE HELP ME I NEED INTERNET FOR WORD,"Please help me, I need the internet for the word."
PLEASE HELP ME I NEED LAPTOP FOR SENTENCE,"Please help me, I need the laptop for the sentence."
MAN NOT NEED PARK,The man does not need the park.
I NEED SEVENTEEN,I need seventeen.
MAN NOT KNOW DATA,The man does not know the data.
YESTERDAY FAMILY START BANK,"Yesterday, the family started the bank."
PLEASE HELP ME I NEED CAMERA FOR DESIGN,"Please help me, I need the camera for the design."
WE NOT HAVE CITY,We do not have the city.
GROUP NOT KNOW STORE,The group do not know the store.
BOSS NOT KNOW SCHOOL,The boss does not know the school.
FATHER NOT NEED HOSPITAL,The father does not need the hospital.
YESTERDAY I EAT_FOOD FOOD,"Yesterday, I ate the food."
THEY NOT NEED PARK,They do not need the park.
NIGHT WORKER GO OFFICE,"At night, the worker is going to the office."
MORNING I SEARCH PHONE,"In the morning, I am searching the phone."
PLEASE HELP ME I NEED PROBLEM FOR WORD,"Please help me, I need the problem for the word."
FAMILY NOT SEE COMPUTER,The family do not see the computer.
SHE NOT HAVE DATA,She does not have the data.
MORNING THEY KNOW NAME,"In the morning, they know the name."
YESTERDAY MOTHER SAY EXAM,"Yesterday, the mother said the exam."
YESTERDAY I GO COMPANY GET BOOK COME HOME,"Yesterday, I went to the company, got the book, and came home."
AFTERNOON FRIEND PAY COMPUTER,"In the afternoon, the friend is paying the computer."
NIGHT BROTHER GIVE APP,"At night, the brother is giving the app."
WHY I FEEL ANGRY,Why am I feeling angry?
YESTERDAY BOSS ARRIVE STORE,"Yesterday, the boss arrived at the store."
HOW-MANY INTERNET YOU HAVE,How many internets do you have?
HE NOT SEE COMPANY,He does not see the company.
NOW BROTHER GET PHONE,"Now, the brother is getting the phone."
HE AGE SIX,He is six years old.
AFTERNOON TEACHER DOWNLOAD CAMERA,"In the afternoon, the teacher is downloading the camera."
YESTERDAY BROTHER FEEL EXCITED,"Yesterday, the brother felt excited."
BROTHER NOT WANT TIME,The brother does not want the time.
THEY NOT UNDERSTAND PARK,They do not understand the park.
TOMORROW MORNING I WANT GO PARK STUDY PROJECT,"Tomorrow morning, I want to go to the park and study the project."
TIME WHERE,Where is the time?
MORNING POLICE BUY PHONE,"In the morning, the police are buying the phone."
NIGHT CHILD MAKE_CREATE PROBLEM,"At night, the child is making the problem."
NOW SHE EAT_FOOD FOOD,"Now, she is eating the food."
WE WANT TIME YOU-KNOW,Do we want the time?
NOW DOCTOR PULL BAG,"Now, the doctor is pulling the bag."
GROUP NOT UNDERSTAND TIME,The group do not understand the time.
YESTERDAY WORKER HELP HE,"Yesterday, the worker helped him."
NOW MAN CARRY APP,"Now, the man is carrying the app."
TOMORROW MOTHER MEET FATHER,"Tomorrow, the mother will meet the father."
YESTERDAY I GO COMPANY GET DRIVE_CAR COME HOME,"Yesterday, I went to the company, got the car, and came home."
PROGRAM WHERE,Where is the program?
DOCTOR NOT HAVE TIME,The doctor does not have the time.
TOMORROW YOU FIX KEY,"Tomorrow, you will fix the key."
SHE NOT LIKE SYSTEM,She does not like the system.
HE WANT MONEY YOU-KNOW,Does he want the money?
TOMORROW CHILD STAND STORE,"Tomorrow, the child will stand to the store."
DOCTOR NOT KNOW MONEY,The doctor does not know the money.
I AGE TWENTY,I am twenty years old.
YESTERDAY I GO BANK GET PROBLEM COME HOME,"Yesterday, I went to the bank, got the problem, and came home."
YESTERDAY BROTHER FEEL CONFUSED,"Yesterday, the brother felt confused."
NOW DOCTOR WIN DESIGN,"Now, the doctor wins the design."
YESTERDAY DOCTOR FIX CAMERA,"Yesterday, the doctor fixed the camera."
HOW-MANY SOLUTION THEY HAVE,How many solutions does they have?
TOMORROW MORNING I WANT GO PLACE READ HAND,"Tomorrow morning, I want to go to the place and read the hand."
NOW MAN ANSWER HAND,"Now, the man is answering the hand."
MORNING DOCTOR RUN PARK,"In the morning, the doctor is running to the park."
AFTERNOON TEAM CATCH PART,"In the afternoon, the team are catching the part."
AFTERNOON BROTHER LOSE KEY,"In the afternoon, the brother loses the key."
NIGHT BROTHER FEEL NERVOUS,"At night, the brother is feeling nervous."
NOW THEY ARRIVE PARK,"Now, they are arriving at the park."
TEAM NOT NEED SCHOOL,The team do not need the school.
TOMORROW SISTER LOGIN MODEL,"Tomorrow, the sister will login the model."
BABY NOT WANT NAME,The baby does not want the name.
YESTERDAY I GO RESTAURANT BUY TIME COME HOME,"Yesterday, I went to the restaurant, bought the time, and came home."
WE WANT PROJECT YOU-KNOW,Do we want the project?
NIGHT HE MEET POLICE,"At night, he is meeting the police."
AFTERNOON TEAM SEARCH SYSTEM,"In the afternoon, the team are searching the system."
AFTERNOON FRIEND BORROW EXAM,"In the afternoon, the friend is borrowing the exam."
NIGHT MOTHER MEET DOCTOR,"At night, the mother is meeting the doctor."
DOCTOR NOT SEE PARK,The doctor does not see the park.
SHE GO OFFICE YOU-KNOW,Is she going to the office?
YESTERDAY STUDENT DRINK MEDICINE,"Yesterday, the student drank some medicine."
TEACHER NOT NEED SENTENCE,The teacher does not need the sentence.
TOMORROW POLICE TAKE PROBLEM,"Tomorrow, the police will take the problem."
NIGHT CHILD FEEL HOT,"At night, the child is feeling hot."
YESTERDAY MOTHER DRIVE_CAR BUS,"Yesterday, the mother drove the bus."
THEY NOT HAVE LIBRARY,They do not have the library.
MOTHER NOT WANT HOUSE,The mother does not want the house.
PLEASE HELP ME I NEED CAMERA FOR HAND,"Please help me, I need the camera for the hand."
YOU NOT KNOW MARKET,You do not know the market.
NIGHT MOTHER PROGRAM PART,"At night, the mother is programming the part."
AFTERNOON CHILD BORROW APPLE,"In the afternoon, the child is borrowing some apple."
MAN NOT HAVE PROBLEM,The man does not have the problem.
DOCTOR NOT KNOW PARK,The doctor does not know the park.
TOMORROW MORNING I WANT GO OFFICE LEARN BAG,"Tomorrow morning, I want to go to the office and learn the bag."
SHE WANT BOOK YOU-KNOW,Does she want the book?
NOW GROUP RUN LIBRARY,"Now, the group are running to the library."
AGAIN PLEASE,"Again, please."
AFTERNOON BABY SEND EXAM,"In the afternoon, the baby is sending the exam."
NOW WOMAN VISIT SCHOOL,"Now, the woman is visiting the school."
YOU NOT SEE ENGLISH,You do not see the english.
AFTERNOON TEACHER COOK FOOD,"In the afternoon, the teacher is cooking the food."
I NOT NEED PROJECT,I do not need the project.
MORNING WOMAN SELL SYSTEM,"In the morning, the woman is selling the system."
NOW I UPLOAD APP,"Now, I am uploading the app."
YESTERDAY MAN FEEL BUSY,"Yesterday, the man felt busy."
AFTERNOON GROUP FEEL HOT,"In the afternoon, the group are feeling hot."
AFTERNOON THEY HELP WE,"In the afternoon, they are helping us."
YESTERDAY I GO ROOM FIND COMPUTER COME HOME,"Yesterday, I went to the room, found the computer, and came home."
TEAM NOT KNOW LAPTOP,The team do not know the laptop.
NOW STUDENT GET WATER,"Now, the student is getting some water."
AFTERNOON BROTHER CLOSE WORD,"In the afternoon, the brother is closing the word."
MORNING BABY DRINK COFFEE,"In the morning, the baby is drinking some coffee."
FAMILY NOT KNOW SOLUTION,The family do not know the solution.
YESTERDAY WORKER FEEL BUSY,"Yesterday, the worker felt busy."
HE NAME A L E X,His name is Alex.
TOMORROW MORNING I WANT GO COMPANY LEARN PROBLEM,"Tomorrow morning, I want to go to the company and learn the problem."
NOW STUDENT EAT_FOOD APPLE,"Now, the student is eating some apple."
YESTERDAY I GO HOUSE SEE PART COME HOME,"Yesterday, I went to the house, saw the part, and came home."
FRIEND NOT NEED VIDEO,The friend does not need the video.
TEAM NOT HAVE MODEL,The team do not have the model.
YESTERDAY I GO STORE GET DRIVE_CAR COME HOME,"Yesterday, I went to the store, got the car, and came home."
TOMORROW THEY ASK BAG,"Tomorrow, they will ask the bag."
MORNING GROUP INSTALL APP,"In the morning, the group are installing the app."
THEY NOT LIKE PROGRAM,They do not like the program.
NOW WOMAN BORROW APP,"Now, the woman is borrowing the app."
AFTERNOON POLICE STUDY KEY,"In the afternoon, the police are studying the key."
TOMORROW CHILD MEET HE,"Tomorrow, the child will meet him."
YESTERDAY FAMILY CALL I,"Yesterday, the family called me."
DOCTOR NOT UNDERSTAND PASSWORD,The doctor does not understand the password.
NIGHT GROUP THROW PROGRAM,"At night, the group are throwing the program."
WHY YOU FEEL PROUD,Why are you feeling proud?
NIGHT WE RUN SCHOOL,"At night, we are running to the school."
MORNING DOCTOR SAY SOLUTION,"In the morning, the doctor is saying the solution."
TOMORROW DOCTOR MAKE_CREATE SYSTEM,"Tomorrow, the doctor will make the system."
FOUR DAY,four days.
WOMAN NOT LIKE PASSWORD,The woman does not like the password.
TOMORROW MORNING I WANT GO ROOM LEARN EXAM,"Tomorrow morning, I want to go to the room and learn the exam."
NIGHT MAN FIX MODEL,"At night, the man is fixing the model."
AFTERNOON GROUP SEARCH VIDEO,"In the afternoon, the group are searching the video."
TEACHER NOT LIKE ENGLISH,The teacher does not like the english.
WE HAVE LANGUAGE YOU-KNOW,Do we have the language?
YESTERDAY SISTER SHARE WORD,"Yesterday, the sister shared the word."
AFTERNOON TEACHER FEEL STRONG,"In the afternoon, the teacher is feeling strong."
BOSS NOT KNOW PHONE,The boss does not know the phone.
TOMORROW SISTER DRIVE_CAR BIKE,"Tomorrow, the sister will drive the bike."
NOW BABY BUY SOLUTION,"Now, the baby is buying the solution."
NIGHT FRIEND FEEL BORED,"At night, the friend is feeling bored."
FRIEND NOT NEED HOSPITAL,The friend does not need the hospital.
AFTERNOON TEAM FEEL HAPPY,"In the afternoon, the team are feeling happy."
I NOT LIKE ROAD,I do not like the road.
WORKER NOT LIKE APP,The worker does not like the app.
YESTERDAY FRIEND BORROW BIKE,"Yesterday, the friend borrowed the bike."
TOMORROW WE SHARE KEY,"Tomorrow, we will share the key."
IF YOU NEED HELP CALL ME,"If you need help, call me."
MORNING CHILD DELETE PHONE,"In the morning, the child is deleting the phone."
POLICE NOT HAVE DESIGN,The police do not have the design.
YOU HAVE LESSON YOU-KNOW,Do you have the lesson?
YESTERDAY I GO LIBRARY FIND MONEY COME HOME,"Yesterday, I went to the library, found the money, and came home."
NOW MOTHER FEEL BORED,"Now, the mother is feeling bored."
NIGHT DOCTOR WANT COMPANY,"At night, the doctor wants the company."
MORNING SISTER FEEL PROUD,"In the morning, the sister is feeling proud."
STUDENT NOT NEED KEY,The student does not need the key.
SISTER NOT HAVE BANK,The sister does not have the bank.
AFTERNOON SISTER DRIVE_CAR BUS,"In the afternoon, the sister is driving the bus."
AFTERNOON TEACHER MOVE BANK,"In the afternoon, the teacher is moving to the bank."
YESTERDAY STUDENT PAY MONEY,"Yesterday, the student paid the money."
TEACHER NOT NEED HOUSE,The teacher does not need the house.
THEY NOT NEED BAG,They do not need the bag.
WE LIKE OFFICE YOU-KNOW,Do we like the office?
NOW BROTHER MEET TEAM,"Now, the brother is meeting the team."
AFTERNOON WE FEEL HAPPY,"In the afternoon, we are feeling happy."
THIRTEEN PEOPLE COME,Thirteen people are coming.
TOMORROW MORNING I WANT GO COUNTRY READ TIME,"Tomorrow morning, I want to go to the country and read the time."
AFTERNOON STUDENT ASK PHONE,"In the afternoon, the student is asking the phone."
MORNING FAMILY OPEN LETTER,"In the morning, the family are opening the letter."
NOW MOTHER DOWNLOAD PASSWORD,"Now, the mother is downloading the password."
TOMORROW BOSS DRINK WATER,"Tomorrow, the boss will drink some water."
TOMORROW DOCTOR BRING COMPUTER,"Tomorrow, the doctor will bring the computer."
TEACHER NOT HAVE INTERNET,The teacher does not have the internet.
NOW MAN DRINK COFFEE,"Now, the man is drinking some coffee."
WE NOT UNDERSTAND SENTENCE,We do not understand the sentence.
FRIEND NOT SEE ROAD,The friend does not see the road.
YESTERDAY HE FEEL HOT,"Yesterday, he felt hot."
NOW YOU FEEL CONFUSED,"Now, you are feeling confused."
NIGHT THEY SAY APP,"At night, they are saying the app."
PLEASE HELP ME I NEED PART FOR SENTENCE,"Please help me, I need the part for the sentence."
FATHER NOT SEE INTERNET,The father does not see the internet.
HOW-MANY KEY HE HAVE,How many keys does he have?
MORNING CHILD EAT_FOOD FOOD,"In the morning, the child is eating the food."
MORNING POLICE FEEL CONFUSED,"In the morning, the police are feeling confused."
WE WANT MONEY YOU-KNOW,Do we want the money?
MORNING FRIEND HELP FAMILY,"In the morning, the friend is helping the family."
YESTERDAY I GO MARKET BUY LAPTOP COME HOME,"Yesterday, I went to the market, bought the laptop, and came home."
YOU NOT LIKE BODY,You do not like the body.
MORNING FATHER CATCH PROBLEM,"In the morning, the father is catching the problem."
YESTERDAY STUDENT RUN MARKET,"Yesterday, the student ran to the market."
STUDENT NOT NEED PHONE,The student does not need the phone.
WE WANT PART YOU-KNOW,Do we want the part?
AFTERNOON BROTHER FEEL EXCITED,"In the afternoon, the brother is feeling excited."
SHE NOT NEED MONEY,She does not need the money.
WORKER NOT SEE CITY,The worker does not see the city.
I DRIVE_CAR SCHOOL,I'm driving to school.
YESTERDAY I GO HOSPITAL BUY QUESTION COME HOME,"Yesterday, I went to the hospital, bought the question, and came home."
MORNING CHILD DRINK WATER,"In the morning, the child is drinking some water."
MORNING WOMAN TRY LETTER,"In the morning, the woman trys the letter."
STUDENT NOT HAVE QUESTION,The student does not have the question.
NIGHT FAMILY PUSH SIGN,"At night, the family are pushing the sign."
NIGHT I START LANGUAGE,"At night, I start the language."
NIGHT WE OPEN GRADE,"At night, we are opening the grade."
TEAM NOT KNOW COMPUTER,The team do not know the computer.
YESTERDAY CHILD FEEL STRONG,"Yesterday, the child felt strong."
NIGHT WE LEAVE BANK,"At night, we are leaving the bank."
I WANT LESSON YOU-KNOW,Do I want the lesson?
NOW TEACHER PROGRAM PROBLEM,"Now, the teacher is programming the problem."
MORNING YOU HELP YOU,"In the morning, you are helping you."
WORKER NOT WANT GRADE,The worker does not want the grade.
AFTERNOON SHE HELP HE,"In the afternoon, she is helping him."
MORNING HE MAKE_CREATE INTERNET,"In the morning, he is making the internet."
YESTERDAY FAMILY START OFFICE,"Yesterday, the family started the office."
HOW-MANY CAMERA WE HAVE,How many cameras does we have?
AFTERNOON DOCTOR FEEL WEAK,"In the afternoon, the doctor is feeling weak."
AFTERNOON FATHER DOWNLOAD DATA,"In the afternoon, the father is downloading the data."
THEY NOT WANT MONEY,They do not want the money.
NIGHT DOCTOR COME HOUSE,"At night, the doctor is coming to the house."
MORNING TEACHER SHARE ENGLISH,"In the morning, the teacher is sharing the english."
AFTERNOON WORKER DRIVE_CAR BIKE,"In the afternoon, the worker is driving the bike."
TOMORROW MORNING I WANT GO STORE LEARN BOOK,"Tomorrow morning, I want to go to the store and learn the book."
FATHER NOT UNDERSTAND DESIGN,The father does not understand the design.
YESTERDAY SISTER MEET SISTER,"Yesterday, the sister met the sister."
SISTER NOT LIKE NAME,The sister does not like the name.
NOW GROUP FEEL PROUD,"Now, the group are feeling proud."
BROTHER NOT SEE SOLUTION,The brother does not see the solution.
TOMORROW HE ANSWER ENGLISH,"Tomorrow, he will answer the english."
THREE MONTH,three months.
NIGHT CHILD RETURN BANK,"At night, the child is returning to the bank."
HOW-MANY CAMERA THEY HAVE,How many cameras does they have?
YESTERDAY MY FRIEND VISIT MY HOUSE WE EAT APPLE,"Yesterday, my friend visited my house and we ate apple."
NOW STUDENT FEEL SICK,"Now, the student is feeling sick."
STUDENT NOT SEE HOUSE,The student does not see the house.
YESTERDAY WOMAN COOK APPLE,"Yesterday, the woman cooked some apple."
YOU HAVE QUESTION YOU-KNOW,Do you have the question?
FAMILY NOT HAVE CODE,The family do not have the code.
SHE NOT WANT PROBLEM,She does not want the problem.
TEACHER NOT KNOW MODEL,The teacher does not know the model.
MORNING POLICE LOVE SENTENCE,"In the morning, the police love the sentence."
AFTERNOON GROUP CARRY COMPUTER,"In the afternoon, the group are carrying the computer."
GROUP NOT SEE RESTAURANT,The group do not see the restaurant.
STUDENT NOT HAVE PROBLEM,The student does not have the problem.
TOMORROW I DRIVE_CAR BIKE,"Tomorrow, I will drive the bike."
NIGHT POLICE BELIEVE BANK,"At night, the police believe the bank."
TOMORROW GROUP DELETE VIDEO,"Tomorrow, the group will delete the video."
TOMORROW HE SAY HAND,"Tomorrow, he will say the hand."
HE NOT NEED EXAM,He does not need the exam.
NIGHT TEACHER ARRIVE ROAD,"At night, the teacher is arriving at the road."
TEACHER NOT HAVE SIGN,The teacher does not have the sign.
YOU HAVE GRADE YOU-KNOW,Do you have the grade?
NIGHT TEAM DRINK COFFEE,"At night, the team are drinking some coffee."
NIGHT HE UPLOAD DATA,"At night, he is uploading the data."
CHILD NOT HAVE BOOK,The child does not have the book.
TOMORROW TEACHER PULL MEETING,"Tomorrow, the teacher will pull the meeting."
PLEASE GIVE ME LANGUAGE,Please give me the language.
AFTERNOON POLICE SELL DESIGN,"In the afternoon, the police are selling the design."
MORNING SISTER THROW NAME,"In the morning, the sister is throwing the name."
TOMORROW MORNING I WANT GO HOUSE STUDY MEETING,"Tomorrow morning, I want to go to the house and study the meeting."
AFTERNOON SISTER MEET STUDENT,"In the afternoon, the sister is meeting the student."
NOW I USE LETTER,"Now, I am using the letter."
NIGHT FATHER FEEL SCARED,"At night, the father is feeling scared."
NOW BROTHER SHARE KEY,"Now, the brother is sharing the key."
I HAVE PART YOU-KNOW,Do I have the part?
MORNING TEACHER READ MONEY,"In the morning, the teacher is reading the money."
SISTER NOT HAVE OFFICE,The sister does not have the office.
DOCTOR NOT SEE BANK,The doctor does not see the bank.
BOOK ON TABLE,The book is on the table.
NOW FATHER FEEL WEAK,"Now, the father is feeling weak."
BABY NOT UNDERSTAND WORD,The baby does not understand the word.
SISTER NOT UNDERSTAND EXAM,The sister does not understand the exam.
PLEASE STOP,Please stop.
YESTERDAY I GO BANK FIND MEDICINE COME HOME,"Yesterday, I went to the bank, found some medicine, and came home."
FATHER NOT LIKE LETTER,The father does not like the letter.
AFTERNOON MAN BUILD PASSWORD,"In the afternoon, the man is building the password."
TOMORROW STUDENT RECEIVE DRIVE_CAR,"Tomorrow, the student will receive the car."
AFTERNOON SISTER BUY ENGLISH,"In the afternoon, the sister is buying the english."
HOW-MANY SIGN THEY HAVE,How many signs does they have?
NIGHT BROTHER MAKE_CREATE MONEY,"At night, the brother is making the money."
AFTERNOON MOTHER GIVE BUS,"In the afternoon, the mother is giving the bus."
DESIGN WHERE,Where is the design?
NOW MAN FEEL EXCITED,"Now, the man is feeling excited."
TOMORROW SHE PRACTICE GRADE,"Tomorrow, she will practice the grade."
NIGHT POLICE FEEL HOT,"At night, the police are feeling hot."
NIGHT BABY SHOW GROUP,"At night, the baby is showing the group."
YESTERDAY BROTHER FEEL SAD,"Yesterday, the brother felt sad."
I HAVE FOURTEEN BOOK,I have fourteen books.
TOMORROW SHE TEACH PROBLEM,"Tomorrow, she will teach the problem."
NOW TEAM FEEL CONFUSED,"Now, the team are feeling confused."
GROUP NOT KNOW KEY,The group do not know the key.
BOSS NOT NEED PASSWORD,The boss does not need the password.
POLICE NOT SEE HOSPITAL,The police do not see the hospital.
STUDENT NOT NEED STORE,The student does not need the store.
AFTERNOON CHILD SELL PHONE,"In the afternoon, the child is selling the phone."
NIGHT SHE HELP BABY,"At night, she is helping the baby."
PLEASE HELP ME I NEED BODY FOR HAND,"Please help me, I need the body for the hand."
HOW-MANY KEY THEY HAVE,How many keys does they have?
WOMAN NOT LIKE PARK,The woman does not like the park.
I WANT EXAM YOU-KNOW,Do I want the exam?
TOMORROW FATHER SAVE APP,"Tomorrow, the father will save the app."
MORNING STUDENT CONFUSE LANGUAGE,"In the morning, the student confuses the language."
WORKER NOT KNOW BOOK,The worker does not know the book.
WOMAN NOT NEED BODY,The woman does not need the body.
YESTERDAY POLICE TEACH MONEY,"Yesterday, the police taught the money."
NOW BROTHER SEARCH CAMERA,"Now, the brother is searching the camera."
MORNING WORKER FEEL HAPPY,"In the morning, the worker is feeling happy."
YOU NOT SEE OFFICE,You do not see the office.
YESTERDAY I GO OFFICE BUY WORD COME HOME,"Yesterday, I went to the office, bought the word, and came home."
NIGHT WE DRINK WATER,"At night, we are drinking some water."
MORNING TEACHER CHANGE MONEY,"In the morning, the teacher is changing the money."
YESTERDAY BROTHER FEEL SICK,"Yesterday, the brother felt sick."
MORNING SHE COOK FOOD,"In the morning, she is cooking the food."
WE NOT WANT APP,We do not want the app.
HOW-MANY SENTENCE YOU HAVE,How many sentences do you have?
AFTERNOON POLICE USE CODE,"In the afternoon, the police are using the code."
AFTERNOON SHE STAND OFFICE,"In the afternoon, she is standing to the office."
MORNING FRIEND SHOW CHILD,"In the morning, the friend is showing the child."
YESTERDAY BABY EXPLAIN BABY,"Yesterday, the baby explained the baby."
NIGHT HE TRY AGE,"At night, he trys the age."
TOMORROW FATHER BRING SOLUTION,"Tomorrow, the father will bring the solution."
GROUP NOT NEED HAND,The group do not need the hand.
YESTERDAY SISTER MEET WOMAN,"Yesterday, the sister met the woman."
YESTERDAY I GO COUNTRY SEE LAPTOP COME HOME,"Yesterday, I went to the country, saw the laptop, and came home."
TOMORROW MORNING I WANT GO OFFICE STUDY PROBLEM,"Tomorrow morning, I want to go to the office and study the problem."
TOMORROW MOTHER UPLOAD SYSTEM,"Tomorrow, the mother will upload the system."
AFTERNOON SHE DRIVE_CAR BIKE,"In the afternoon, she is driving the bike."
TEAM NOT NEED INTERNET,The team do not need the internet.
AFTERNOON SISTER HEAR CAMERA,"In the afternoon, the sister is hearing the camera."
AFTERNOON FATHER MOVE COMPANY,"In the afternoon, the father is moving to the company."
HE HAVE ENGLISH YOU-KNOW,Does he have the english?
NIGHT YOU WATCH AGE,"At night, you are watching the age."
NIGHT WE DRIVE_CAR BUS,"At night, we are driving the bus."
MORNING YOU GET PART,"In the morning, you are getting the part."
NIGHT GROUP LOGIN INTERNET,"At night, the group are logining the internet."
YESTERDAY I GO PLACE BUY MEETING COME HOME,"Yesterday, I went to the place, bought the meeting, and came home."
STUDENT NOT HAVE ENGLISH,The student does not have the english.
NIGHT WOMAN SHARE TIME,"At night, the woman is sharing the time."
NOW FAMILY STUDY LANGUAGE,"Now, the family are studying the language."
YESTERDAY BABY MAKE_CREATE PASSWORD,"Yesterday, the baby made the password."
MAN NOT NEED HOUSE,The man does not need the house.
AFTERNOON MOTHER GET PASSWORD,"In the afternoon, the mother is getting the password."
CHILD NOT NEED SCHOOL,The child does not need the school.
WOMAN NOT KNOW SENTENCE,The woman does not know the sentence.
MAN NOT HAVE MODEL,The man does not have the model.
AFTERNOON TEAM FEEL STRONG,"In the afternoon, the team are feeling strong."
POLICE NOT UNDERSTAND COMPANY,The police do not understand the company.
MORNING WOMAN SHOW MAN,"In the morning, the woman is showing the man."
TOMORROW TEACHER STAND PARK,"Tomorrow, the teacher will stand to the park."
GROUP NOT WANT SIGN,The group do not want the sign.
SHE NOT LIKE SCHOOL,She does not like the school.
TOMORROW HE DRIVE_CAR DRIVE_CAR,"Tomorrow, he will drive the drive_car."
NOW CHILD FIND GROUP,"Now, the child is finding the group."
TEACHER NOT UNDERSTAND PROJECT,The teacher does not understand the project.
TOMORROW MOTHER DELETE DATA,"Tomorrow, the mother will delete the data."
NIGHT CHILD FIND FAMILY,"At night, the child is finding the family."
HOW-MANY MEETING YOU HAVE,How many meetings do you have?
WHY SHE COME,Why is she comeing?
TEAM NOT KNOW IDEA,The team do not know the idea.
NIGHT SHE BRING DATA,"At night, she is bringing the data."
AFTERNOON MOTHER ARRIVE PARK,"In the afternoon, the mother is arriving at the park."
SHE NOT LIKE ENGLISH,She does not like the english.
NOW WORKER DRIVE_CAR TRAIN,"Now, the worker is driving the train."
NOW I WALK OFFICE,"Now, I am walking to the office."
TOMORROW MOTHER FEEL PROUD,"Tomorrow, the mother will feel proud."
TOMORROW MORNING I WANT GO ROAD STUDY PROBLEM,"Tomorrow morning, I want to go to the road and study the problem."
NIGHT FATHER COOK APPLE,"At night, the father is cooking some apple."
TOMORROW WE MAKE_CREATE TIME,"Tomorrow, we will make the time."
NIGHT BOSS TELL PROJECT,"At night, the boss is telling the project."
YESTERDAY TEACHER DOWNLOAD PROGRAM,"Yesterday, the teacher downloaded the program."
SHORT MEETING,A short meeting.
NIGHT TEAM DO ENGLISH,"At night, the team do the english."
TOMORROW SHE EXPLAIN THEY,"Tomorrow, she will explain them."
NOW BROTHER WRITE GRADE,"Now, the brother is writing the grade."
YESTERDAY TEACHER LEARN DESIGN,"Yesterday, the teacher learned the design."
TWO,Two.
SISTER NOT WANT SCHOOL,The sister does not want the school.
YOU FEEL SCARED YOU-KNOW,Are you feeling scared?
POLICE NOT NEED ENGLISH,The police do not need the english.
